page,title,total_internal_outbound_links,total_internal_outbound_links_to_crawled_pages,total_internal_inbound_links,depth_from_homepage,is_orphan_page,has_lt_5_inbound_links,has_gt_50_outbound_links,holiday_primary_category,holiday_inferred_tags,structural_weakness_score,authority_hub_score
/holiday/learn-what-your-name-means-day/,Learn What Your Name Means Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/learn-your-name-in-morse-code-day/,Learn Your Name in Morse Code Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/leave-the-office-early-day/,Leave The Office Early Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,work_technology,work_technology,4,12.24
/holiday/left-sock-day/,Left Sock Day — Obscure Holiday Calendar,27,27,13,2,no,no,no,fun_weird_general,fun_weird_general,4,15.24
/holiday/lei-day/,Lei Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/leif-erikson-day/,Leif Erikson Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/let-it-go-day/,Let It Go Day — Obscure Holiday Calendar,27,26,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/lima-bean-respect-day/,Lima Bean Respect Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/lithuanian-independence-day/,Lithuanian Independence Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/lizard-appreciation-day/,Lizard Appreciation Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/lollipop-day/,Lollipop Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,food_drink,food_drink,4,12.24
/holiday/look-alike-day/,Look Alike Day — Obscure Holiday Calendar,27,27,7,2,no,no,no,fun_weird_general,fun_weird_general,4,9.24
/holiday/look-for-circles-day/,Look for Circles Day — Obscure Holiday Calendar,27,27,8,2,no,no,no,fun_weird_general,fun_weird_general,4,10.24
/holiday/look-up-at-the-sky-day/,Look Up at the Sky Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/loomis-day/,Loomis Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
/holiday/lost-sock-memorial-day/,Lost Sock Memorial Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,awareness_advocacy,awareness_advocacy,4,11.24
/holiday/love-a-tree-day/,Love a Tree Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,animals_nature,animals_nature;wellness_lifestyle,4,13.24
/holiday/love-note-day/,Love Note Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,wellness_lifestyle,wellness_lifestyle,4,13.24
/holiday/love-your-pet-day/,Love Your Pet Day — Obscure Holiday Calendar,27,27,13,2,no,no,no,wellness_lifestyle,wellness_lifestyle,4,15.24
/holiday/lovers-day/,Lovers Day — Obscure Holiday Calendar,25,25,12,2,no,no,no,wellness_lifestyle,wellness_lifestyle,4,14.0
/holiday/lucky-penny-day/,Lucky Penny Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/macaroon-day/,Macaroon Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/mad-hatter-day/,Mad Hatter Day — Obscure Holiday Calendar,27,27,5,2,no,no,no,fun_weird_general,fun_weird_general,4,7.24
/holiday/make-a-gift-day/,Make a Gift Day — Obscure Holiday Calendar,27,27,11,2,no,no,no,fun_weird_general,fun_weird_general,4,13.24
